Monday,0,C1,C2,C3,C4,C5,C1.1,C1.2,C1.3,C1.4,C2.2,C2.3,C2.4,C2.5,A1,A3,A1.1,A1.2,A1.3,A2.1,A2.2,A2.8,B1,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,W1,W2,W3,W4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab1,C Lab2,C Lab3,C Lab4,C lab5,MS Lab,Cisco Lab,CAD CAM Lab,Bio Lab,FSN Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,Seminar Room,DLD Lab,Survey Lab
Monday,1,C2,C4,C5,C2.3,C2.4,C2.5,A1.1,A1.3,A2.2,A2.8,B3,B6,B11,W1,W4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab1,C Lab2,C lab5,CAD CAM Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,2,C4,B10,B11,B12,W2,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Civil Engineering Materials Lab,Bio Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,C&ELab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,3,B4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Civil Engineering Materials Lab,Cisco Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,C&ELab,PowerElectronicsLab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,4,A2.8,B11,B12,W1,Engineering Mechanics Lab,Engineering Drawing Hall,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,MS Lab,CAD CAM Lab,DRAWING HALL,Thermo Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,PowerElectronicsLab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,5,W2,W3,W4,Engineering Mechanics Lab,Engineering Drawing Hall,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab3,DRAWING HALL,Thermo Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,DLD Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,0,C1,C2,C3,C4,C5,C1.1,C1.2,C1.3,C1.4,C2.2,C2.3,C2.4,C2.5,A1,A3,A1.1,A1.2,A1.3,A2.1,A2.2,A2.8,B1,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,W1,W2,W3,W4,Engineering Mechanics Lab,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,C Lab1,C Lab2,C Lab3,C Lab4,C lab5,MS Lab,Cisco Lab,CAD CAM Lab,Bio Lab,FSN Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,Seminar Room,DLD Lab,Survey Lab
Tuesday,1,Engineering Drawing Hall,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,MS Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,Vibrations Lab,PhyLab,C&ELab,DigitalLab,PowerElectronicsLab,DLD Lab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,2,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,C&ELab,DigitalLab,PowerElectronicsLab,DLD Lab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,3,Engineering Mechanics Lab,FYP Lab,Getechnical Engineering Lab,Fluid Mechanics Lab,Civil Engineering Materials Lab,Bio Lab,DRAWING HALL,Mechanics Lab,Thermo Lab,Electric Machines Lab,HMT Lab,C&ELab,DigitalLab,PowerElectronicsLab,DLD Lab,Survey Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
